3,@avaldez,02-02-2024 10:07:45
7,@mlopez,02-02-2024 11:22:13
1,@fsanchez,03-02-2024 09:15:22
5,@psalazar,03-02-2024 09:18:41
2,@dtorres,03-02-2024 14:35:09
9,@cibarra,04-02-2024 16:02:17
4,@jperez,04-02-2024 18:45:33
8,@mmendoza,05-02-2024 08:25:59
6,@lgarcia,05-02-2024 09:53:32
3,@mlopez,06-02-2024 13:44:27
10,@fsanchez,07-02-2024 07:12:55
7,@avaldez,07-02-2024 08:02:44
1,@jperez,08-02-2024 12:27:13
2,@cibarra,09-02-2024 17:40:18
9,@psalazar,09-02-2024 18:02:29
5,@fsanchez,10-02-2024 09:21:53
8,@avaldez,10-02-2024 09:24:17
4,@lgarcia,11-02-2024 15:35:06
6,@mmendoza,12-02-2024 10:47:55
3,@rrojas,12-02-2024 11:15:42
10,@jperez,13-02-2024 14:28:21
7,@fsanchez,14-02-2024 09:18:59
2,@avaldez,14-02-2024 10:02:37
9,@mmendoza,15-02-2024 16:32:08
5,@dtorres,15-02-2024 16:35:27
1,@rrojas,16-02-2024 20:44:01
6,@jperez,17-02-2024 08:39:12
4,@mlopez,17-02-2024 09:25:54
8,@cibarra,17-02-2024 11:03:19
3,@lgarcia,18-02-2024 12:17:46
10,@avaldez,18-02-2024 14:58:03
7,@psalazar,20-02-2024 11:14:42
2,@mmendoza,20-02-2024 11:18:06
9,@rrojas,21-02-2024 13:47:55
4,@fsanchez,22-02-2024 13:50:12
8,@lgarcia,23-02-2024 15:03:44
5,@avaldez,24-02-2024 15:06:21
6,@cibarra,25-02-2024 08:30:15
10,@mlopez,25-02-2024 08:33:42
1,@mmendoza,28-02-2024 19:02:17
2,@psalazar,29-02-2024 19:05:50
